Lat Grid,Long Grid,Enodebid Ci,Kel Des,Avg Rsrp Serving,Total Samples
-6.310665,106.832144,440884_9,KEBAGUSAN,-108.333333333,3
-6.319648,106.836636,440884_6,LENTENG AGUNG,-107.086956522,4462
-6.310665,106.832144,440884_6,KEBAGUSAN,-108.333333333,3
-6.283715,106.823161,440884_2,RAGUNAN,-106.5,2
-6.310665,106.832144,440884_2,KEBAGUSAN,-108.333333333,3
-6.32414,106.827653,440884_2,JAGAKARSA,-111.255319149,47
-6.32414,106.814178,440884_2,JAGAKARSA,-114.595854922,193
-6.346597,106.805195,440884_2,CIPEDAK,-106.888888889,63
-6.360072,106.872569,440875_6,CIBUBUR,-109.333333333,3
-6.216342,106.895026,440842_4,CIPINANG MUARA,-113.333333333,3
-6.270241,106.899518,440839_4,HALIM PERDANA KUSUMAH,-114,10
-6.265749,106.890535,440839_4,HALIM PERDANA KUSUMAH,-108.30162413,431
-6.270241,106.899518,440839_3,HALIM PERDANA KUSUMAH,-114,10
-6.270241,106.895026,440839_3,HALIM PERDANA KUSUMAH,-107.666666667,72
-6.243291,106.90401,440765_9,PONDOK BAMBU,-107.43575419,2506
-6.261257,106.899518,440765_8,HALIM PERDANA KUSUMAH,-110.333333333,39
-6.256766,106.895026,440765_8,HALIM PERDANA KUSUMAH,-110.723446894,499
-6.265749,106.895026,440765_8,HALIM PERDANA KUSUMAH,-108.316901408,426
-6.256766,106.908501,440765_8,CIPINANG MELAYU,-109.794930876,434
-6.2388,106.886043,440752_6,CIPINANG MUARA,-105.169072165,485
-6.270241,106.90401,440706_9,HALIM PERDANA KUSUMAH,-107.666666667,3
-6.29719,106.814178,440620_2,CILANDAK TIMUR,-108,1
-6.283715,106.823161,440487_6,RAGUNAN,-106.5,2
-6.265749,106.850111,440408_9,PEJATEN TIMUR,-105.45026178,191
-6.261257,106.850111,440405_3,KALIBATA,-108.592592593,54
-6.261257,106.87706,440386_14,KEBON PALA,-105.971869328,1102
-6.261257,106.895026,440386_1,HALIM PERDANA KUSUMAH,-108.054545455,55
-6.315156,106.868077,440311_8,SUSUKAN,-105.953488372,43
-6.32414,106.917484,440251_4,CILANGKAP,-105.038499506,1013
-6.32414,106.912993,440251_4,CILANGKAP,-106.351714168,4842
-6.319648,106.912993,440236_5,CILANGKAP,-106.536723164,177
-6.364564,106.912993,440231_5,PONDOK RANGGON,-109.342222222,675
-6.333123,106.814178,440205_3,JAGAKARSA,-114,4
-6.351089,106.827653,440205_1,SRENGSENG SAWAH,-109,1
-6.148968,106.87706,440153_2,SUNTER JAYA,-108.333333333,6
-6.310665,106.845619,440143_9,TANJUNG BARAT,-106.6875,80
-6.216342,106.895026,440102_8,CIPINANG MUARA,-113.333333333,3
-6.256766,106.87706,440098_24,KEBON PALA,-107.818384401,1795
-6.261257,106.881552,440098_8,HALIM PERDANA KUSUMAH,-106.358208955,1340
-6.252274,106.926467,440097_2,PONDOK KELAPA,-106.112866817,443
-6.252274,106.87706,440006_14,KEBON PALA,-105.390041494,241
-6.306173,106.787229,431060_3,LEBAK BULUS,-107,1
-6.252274,106.836636,430949_3,DUREN TIGA,-111.5,2
-6.261257,106.823161,430664_14,BANGKA,-106.40625,32
-6.247783,106.81867,430664_11,PELA MAMPANG,-114.25,4
-6.270241,106.787229,430533_7,PONDOK PINANG,-108.229122056,467
-6.243291,106.800703,430233_6,MELAWAI,-105.289201878,1065
-6.2388,106.809686,430134_6,RAWA BARAT,-107.639471639,2574
-6.29719,106.782737,430110_1,LEBAK BULUS,-106,1
-6.21185,106.787229,430100_4,GROGOL UTARA,-107.707317073,82
-6.198375,106.79172,430100_3,PALMERAH,-113,1
-6.202867,106.787229,430100_1,PALMERAH,-109.059701493,67
-6.180409,106.800703,430100_1,JATIPULO,-114.190965092,974
-6.252274,106.773754,430093_5,KEBAYORAN LAMA UTARA,-107.952380952,42
-6.261257,106.773754,430085_19,PONDOK PINANG,-107.831081081,592
-6.270241,106.841127,430003_7,PEJATEN BARAT,-105,1
-6.148968,106.782737,421344_6,JELAMBAR BARU,-113.04,50
-6.135493,106.773754,421344_3,KAPUK MUARA,-108.352380952,105
-6.139985,106.773754,421344_3,KAPUK MUARA,-106.641366224,527
-6.139985,106.769262,421344_3,KAPUK MUARA,-112.869845361,776
-6.099561,106.79172,421339_19,PLUIT,-106.333333333,3
-6.15346,106.746804,421339_19,CENGKARENG TIMUR,-111,2
-6.131002,106.800703,421324_9,PENJARINGAN,-111.842948718,312
-6.117527,106.719855,421318_16,TEGAL ALUR,-106.13253012,83
-6.131002,106.778245,421299_26,PEJAGALAN,-106.717283951,1620
-6.148968,106.755788,421299_24,KEDAUNG KALI ANGKE,-109,1
-6.180409,106.710872,421237_8,DURI KOSAMBI,-109.945578231,147
-6.175918,106.715363,421237_5,DURI KOSAMBI,-106.076923077,13
-6.139985,106.746804,421222_25,KAPUK,-112.474820144,139
-6.144476,106.751296,421222_18,KEDAUNG KALI ANGKE,-106.777777778,18
-6.144476,106.787229,421211_19,JELAMBAR BARU,-105.891701828,2133
-6.15346,106.715363,421093_21,KALIDERES,-105.440366972,545
-6.099561,106.73333,421074_1,KAMAL MUARA,-112.75,8
-6.104052,106.73333,420980_16,KAMAL MUARA,-106.333333333,63
-6.108544,106.73333,420980_16,KAMAL MUARA,-108.869281046,153
-6.113035,106.746804,420980_2,KAMAL MUARA,-114.033333333,60
-6.113035,106.742313,420980_2,KAMAL MUARA,-106.657142857,35
-6.117527,106.742313,420980_2,KAMAL MUARA,-109.2,90
-6.122019,106.81867,420937_3,ANCOL,-108.714285714,63
-6.189392,106.760279,420933_7,KEDOYA SELATAN,-105.285714286,7
-6.12651,106.769262,420908_17,KAPUK MUARA,-107,2
-6.12651,106.737821,420908_16,CENGKARENG TIMUR,-112.036674817,818
-6.113035,106.755788,420908_9,KAPUK MUARA,-106.2,5
-6.122019,106.746804,420908_9,KAMAL MUARA,-106.725146199,513
-6.099561,106.688414,420812_6,KAMAL,-106.109375,64
-6.108544,106.805195,420634_8,PENJARINGAN,-105.636363636,11
-6.113035,106.805195,420634_8,PENJARINGAN,-105.414893617,94
-6.113035,106.800703,420634_5,PENJARINGAN,-105.337313433,670
-6.108544,106.800703,420634_1,PENJARINGAN,-105.387831207,5095
-6.113035,106.719855,420377_6,TEGAL ALUR,-107.419354839,124
-6.157951,106.737821,420348_6,RAWA BUAYA,-105,6
-6.175918,106.805195,420345_9,JATIPULO,-107.170258621,928
-6.175918,106.809686,420345_3,CIDENG,-109.798594848,427
-6.171426,106.773754,420317_5,DURI KEPA,-107.396039604,101
-6.12651,106.850111,420290_1,ANCOL,-107.036277603,634
-6.292699,106.787229,420219_7,CILANDAK BARAT,-105,1
-6.171426,106.742313,420219_3,KEMBANGAN UTARA,-106.5,2
-6.175918,106.742313,420219_3,KEMBANGAN UTARA,-105.078947368,38
-6.15346,106.742313,420066_4,CENGKARENG TIMUR,-108,1
-6.12651,106.899518,411238_3,RAWA BADAK SELATAN,-106.595867585,4501
-6.207359,106.87706,411153_5,PISANGAN TIMUR,-105.73255814,516
-6.113035,106.935451,411127_6,SEMPER TIMUR,-107.385381253,8236
-6.117527,106.872569,411103_6,TANJUNG PRIOK,-106.579207921,1010
-6.139985,106.90401,411092_8,KELAPA GADING BARAT,-108.161045131,2105
-6.135493,106.912993,411092_1,TUGU SELATAN,-109.571428571,21
-6.139985,106.912993,411086_27,PEGANGSAAN DUA,-109.273092369,249
-6.144476,106.881552,411082_24,SUNTER JAYA,-105.343902439,410
-6.144476,106.948925,411081_1,ROROTAN,-106.389720234,4611
-6.131002,106.957908,411036_9,ROROTAN,-108.308917197,942
-6.12651,106.854602,410992_9,SUNTER AGUNG,-110.520467836,342
-6.148968,106.921976,410975_3,SUKAPURA,-107.948717949,39
-6.113035,106.863585,410938_8,ANCOL,-108.5,4
-6.144476,106.966892,410837_1,ROROTAN,-105.875,16
-6.157951,106.948925,410684_9,ROROTAN,-105.027906977,860
-6.148968,106.9624,410684_8,ROROTAN,-106.380332986,3844
-6.216342,106.895026,410664_2,CIPINANG MUARA,-113.333333333,3
-6.184901,106.895026,410606_11,PULO GADUNG,-106.413533835,133
-6.189392,106.881552,410606_11,KAYU PUTIH,-108.603856266,1141
-6.162443,106.854602,410580_6,UTAN PANJANG,-109.684210526,19
-6.306173,106.823161,410398_6,RAGUNAN,-109.333333333,72
-6.099561,106.800703,410230_3,PENJARINGAN,-112.5,4
-6.166934,106.881552,410116_6,KELAPA GADING BARAT,-106.042857143,210
-6.15346,106.746804,410070_5,CENGKARENG TIMUR,-111,2
-6.157951,106.926467,410041_1,SUKAPURA,-107.831501832,273
-6.139985,106.917484,410039_4,SUKAPURA,-107.75,4
